┌────────┬───────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │      name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼───────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│     24 │  GMNCASE4 │    175 │    350 │     first_order │           5.95e+03 │              4.65e+02 │           1.40e-07 │             1.56e-08 │  first_order │        5.95e+03 │           6.80e-01 │        1.85e-06 │          0.00e+00 │
│     25 │  GIGOMEZ2 │      3 │      3 │     first_order │           1.95e+00 │              7.04e-03 │           1.31e-11 │             2.46e-08 │  first_order │        1.95e+00 │           6.00e-03 │        1.86e-09 │          0.00e+00 │
│     26 │    SPINOP │   1327 │   1325 │         stalled │          -2.05e-08 │              4.44e+01 │           1.17e+12 │             1.78e-04 │  first_order │        3.43e-10 │           5.43e+01 │        2.70e-09 │          2.30e-08 │
│     27 │  DEMYMALO │      3 │      3 │     first_order │          -3.00e+00 │              3.79e-03 │           3.05e-12 │             3.29e-08 │  first_order │       -3.00e+00 │           8.00e-03 │        2.34e-08 │          0.00e+00 │
│     28 │      HS42 │      4 │      2 │     first_order │           1.39e+01 │              9.66e-04 │           1.29e-12 │             1.02e-06 │  first_order │        1.39e+01 │           3.00e-03 │        6.16e-08 │          5.21e-09 │
│     29 │  LUKVLI18 │   9997 │   7497 │        max_time │           1.52e+03 │              1.20e+03 │           8.03e+00 │             7.52e-03 │  first_order │        4.35e-03 │           8.33e-01 │        1.10e-06 │          0.00e+00 │
│     30 │      HS27 │      3 │      1 │     first_order │           4.00e-02 │              3.58e-03 │           2.37e-08 │             9.26e-09 │  first_order │        4.00e-02 │           4.30e-02 │        8.50e-10 │          1.58e-10 │
│     31 │  GRIDNETH │   7564 │   3844 │        max_time │           2.06e+02 │              1.20e+03 │           1.57e-01 │             2.16e-04 │  first_order │        2.06e+02 │           3.41e-01 │        2.99e-06 │          4.47e-13 │
│     32 │  LUKVLI10 │  10000 │   9998 │     first_order │           3.54e+03 │              1.20e+03 │           1.34e-07 │             1.43e-08 │  first_order │        3.54e+03 │           6.23e+00 │        6.84e-07 │          0.00e+00 │
│     33 │   LISWET5 │   2002 │   2000 │        max_time │           5.00e+00 │              1.20e+03 │           5.30e-05 │             3.08e-05 │  first_order │        5.00e+00 │           2.10e-01 │        9.09e-12 │          0.00e+00 │
