┌────────┬──────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │     name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
│     28 │      BT1 │      2 │      1 │     first_order │          -1.00e+00 │              0.00e+00 │           2.01e-07 │             6.80e-06 │  first_order │       -1.00e+00 │           2.00e-03 │        3.14e-07 │          3.17e-07 │
│     29 │     HS43 │      4 │      3 │     first_order │          -4.40e+01 │              2.00e-03 │           1.74e-10 │             4.38e-08 │  first_order │       -4.40e+01 │           3.00e-03 │        2.84e-08 │          0.00e+00 │
│     30 │  MAKELA2 │      3 │      3 │     first_order │           7.20e+00 │              8.00e-03 │           1.54e-06 │             1.03e-06 │  first_order │        7.20e+00 │           1.00e-03 │        1.84e-11 │          0.00e+00 │
│     31 │     HS14 │      2 │      2 │     first_order │           1.39e+00 │              0.00e+00 │           2.20e-11 │             7.12e-08 │  first_order │        1.39e+00 │           2.00e-03 │        2.21e-08 │          2.22e-16 │
│     32 │  DIPIGRI │      7 │      4 │     first_order │           6.81e+02 │              2.50e-02 │           1.05e-04 │             2.48e-06 │  first_order │        6.81e+02 │           2.00e-03 │        3.05e-09 │          0.00e+00 │
│     33 │ MIFFLIN2 │      3 │      2 │     first_order │          -1.00e+00 │              8.00e-03 │           1.42e-07 │             1.43e-09 │  first_order │       -1.00e+00 │           3.00e-03 │        1.07e-07 │          0.00e+00 │
│     34 │     HS91 │      5 │      1 │     first_order │           1.36e+00 │              2.63e-01 │           4.44e-12 │             2.44e-06 │  first_order │        1.36e+00 │           1.00e-02 │        8.61e-08 │          0.00e+00 │
│     35 │ BYRDSPHR │      3 │      2 │     first_order │          -4.68e+00 │              4.00e-03 │           3.12e-07 │             6.05e-07 │  first_order │       -4.68e+00 │           5.00e-03 │        9.24e-08 │          8.16e-08 │
│     36 │     HS50 │      5 │      3 │     first_order │           2.87e-19 │              0.00e+00 │           1.81e-09 │             9.05e-10 │  first_order │        6.38e-13 │           3.00e-03 │        2.18e-06 │          8.88e-16 │
│     37 │ CHACONN2 │      3 │      3 │     first_order │           2.00e+00 │              4.00e-03 │           7.16e-12 │             9.71e-08 │  first_order │        2.00e+00 │           2.00e-03 │        1.77e-09 │          0.00e+00 │
│     38 │     BT10 │      2 │      2 │     first_order │          -1.00e+00 │              0.00e+00 │           9.31e-09 │             7.40e-08 │  first_order │       -1.00e+00 │           2.00e-03 │        1.75e-07 │          4.18e-09 │
│     39 │ ROSENMMX │      5 │      4 │     first_order │          -4.40e+01 │              1.30e-02 │           1.11e-08 │             1.74e-10 │  first_order │       -4.40e+01 │           4.00e-03 │        1.22e-07 │          0.00e+00 │
│     40 │     HS26 │      3 │      1 │     first_order │           4.03e-15 │              5.00e-03 │           2.59e-07 │             1.89e-06 │  first_order │        2.82e-10 │           3.00e-03 │        2.75e-07 │          9.45e-06 │
│     41 │   SPIRAL │      3 │      2 │     first_order │           1.01e-09 │              1.10e-02 │           3.08e-10 │             1.43e-09 │  first_order │        3.68e-06 │           1.30e-02 │        1.74e-06 │          0.00e+00 │
│     42 │      BT7 │      5 │      3 │     first_order │           3.06e+02 │              1.00e-03 │           6.78e-08 │             1.91e-06 │  first_order │        3.06e+02 │           3.00e-03 │        3.18e-07 │          1.37e-10 │
│     43 │      HS9 │      2 │      1 │     first_order │          -5.00e-01 │              0.00e+00 │           1.86e-11 │             9.37e-11 │  first_order │       -5.00e-01 │           1.00e-03 │        1.23e-11 │          2.27e-13 │
│     44 │ HS100LNP │      7 │      2 │     first_order │           6.81e+02 │              7.00e-03 │           2.47e-08 │             9.33e-07 │  first_order │        6.81e+02 │           3.00e-03 │        4.68e-06 │          1.90e-09 │
│     45 │  GENHS28 │     10 │      8 │     first_order │           9.27e-01 │              0.00e+00 │           5.49e-09 │             5.51e-09 │  first_order │        9.27e-01 │           1.00e-03 │        1.11e-15 │          6.66e-16 │
│     46 │      BT5 │      3 │      2 │     first_order │           9.62e+02 │              2.00e-03 │           6.10e-06 │             5.22e-09 │  first_order │        9.62e+02 │           1.00e-03 │        5.31e-08 │          4.19e-07 │
│     47 │     HS61 │      3 │      2 │     first_order │          -1.44e+02 │              3.00e-03 │           4.07e-07 │             1.07e-09 │  first_order │       -1.44e+02 │           2.00e-03 │        2.31e-10 │          9.12e-12 │
